
mm/dd,2018:BON:tempc (C),2017:BON:tempc (C),2016:BON:tempc (C),2015:BON:tempc (C),2014:BON:tempc (C),2013:BON:tempc (C),2012:BON:tempc (C),2011:BON:tempc (C),2010:BON:tempc (C),2009:BON:tempc (C),2008:BON:tempc (C),2007:BON:tempc (C),2006:BON:tempc (C),2005:BON:tempc (C),2004:BON:tempc (C),2003:BON:tempc (C),2002:BON:tempc (C),2001:BON:tempc (C),2000:BON:tempc (C),1999:BON:tempc (C),1998:BON:tempc (C),1997:BON:tempc (C),1996:BON:tempc (C),1995:BON:tempc (C),1994:BON:tempc (C),1993:BON:tempc (C)
2/23,NA,2.222,5.000,5.556,NA,NA,NA,NA,NA,NA,NA,4.174,3.787,4.259,4.311,6.141,5.246,4.235,4.661,4.698,NA,4.313,NA,NA,4.444,NA
2/24,NA,2.778,5.000,5.556,NA,NA,NA,NA,NA,NA,NA,4.127,3.748,4.258,4.237,5.667,5.472,4.214,4.811,4.947,5.600,4.408,NA,NA,4.444,NA
2/25,NA,3.333,5.000,5.556,NA,NA,NA,NA,NA,NA,NA,4.048,3.492,4.295,4.271,5.330,5.305,4.239,4.697,5.095,5.588,4.425,NA,NA,4.444,NA
2/26,NA,2.778,5.000,5.556,NA,NA,NA,NA,NA,NA,NA,4.163,3.304,4.370,4.318,5.333,5.076,4.253,4.582,5.169,5.654,4.533,NA,NA,4.444,NA
2/27,NA,2.778,5.000,5.556,NA,NA,14.160,NA,NA,NA,4.986,4.269,3.335,4.450,4.408,5.380,4.974,4.280,4.551,5.140,5.600,4.579,NA,NA,3.889,NA
2/28,NA,2.778,5.556,5.556,NA,NA,NA,NA,NA,NA,5.048,4.276,3.468,4.534,4.492,5.492,4.844,4.148,4.724,5.203,5.542,4.442,NA,NA,3.889,2.222
2/29,NA,NA,5.556,NA,NA,NA,NA,NA,NA,NA,5.155,NA,NA,NA,4.655,NA,NA,NA,4.832,NA,NA,NA,NA,NA,NA,NA
3/1,NA,3.760,5.556,5.556,NA,NA,NA,NA,NA,NA,5.224,4.263,3.620,4.619,4.890,5.665,4.960,4.058,4.913,5.358,5.638,4.425,4.444,NA,4.444,2.222
3/2,NA,3.788,5.556,5.556,NA,NA,NA,NA,NA,NA,5.238,4.307,3.813,4.755,5.002,5.781,4.971,4.135,4.949,5.401,5.821,4.492,NA,NA,4.444,2.222
3/3,NA,3.976,5.556,5.556,NA,NA,NA,NA,NA,NA,5.215,4.491,3.878,4.764,5.046,5.933,4.955,4.304,5.035,5.403,5.871,4.579,NA,NA,5.050,1.667
3/4,NA,4.056,5.556,5.556,NA,NA,NA,NA,NA,NA,5.205,4.692,4.098,4.821,5.041,6.059,5.056,4.440,5.153,5.463,5.988,4.613,3.429,NA,5.249,2.222
3/5,3.959,3.995,5.556,5.556,NA,NA,NA,NA,NA,NA,5.243,4.823,4.353,4.885,NA,6.233,5.265,4.508,5.230,5.620,5.867,4.613,3.562,NA,5.318,2.222
3/6,3.991,4.097,5.556,5.556,NA,NA,NA,NA,NA,NA,5.170,4.966,4.481,4.964,NA,6.357,5.317,4.690,5.256,5.666,5.771,4.733,3.642,NA,5.363,2.222
3/7,4.133,4.191,5.556,5.556,NA,NA,NA,NA,NA,NA,5.193,5.058,4.699,5.113,NA,6.242,5.275,4.855,5.314,5.698,5.738,4.938,3.983,6.200,5.440,2.222
3/8,4.170,4.249,NA,5.556,NA,NA,NA,NA,NA,NA,5.300,5.100,4.830,5.358,5.758,6.104,5.173,5.075,5.416,5.676,5.800,5.188,4.238,6.041,5.473,2.222
3/9,4.378,4.430,5.556,5.556,NA,NA,NA,NA,NA,NA,5.500,5.130,4.702,5.612,5.823,6.230,5.076,5.284,5.545,5.726,5.862,5.250,4.400,5.718,5.429,2.778
3/10,4.602,4.779,5.556,5.556,NA,NA,NA,NA,NA,NA,5.691,5.154,4.688,5.907,5.904,6.538,5.040,5.494,5.770,5.775,5.996,5.350,4.538,5.892,5.540,3.333
3/11,4.865,4.860,6.111,5.556,NA,NA,NA,NA,NA,NA,5.863,5.255,4.705,6.103,6.232,6.686,5.238,5.559,5.881,5.694,6.150,5.325,4.750,5.917,5.767,3.333
3/12,5.059,4.994,6.111,6.111,4.981,NA,NA,NA,NA,NA,6.028,5.504,4.811,6.278,6.340,6.859,5.479,5.758,5.951,5.618,6.458,5.392,4.879,5.658,5.971,3.333
3/13,5.192,5.092,6.111,6.111,5.156,NA,NA,NA,NA,NA,5.985,5.818,5.021,6.402,6.365,6.893,5.493,5.817,6.014,5.592,6.517,5.483,5.179,5.233,6.150,3.333
3/14,5.281,5.212,NA,6.667,5.571,NA,5.148,NA,NA,NA,6.000,5.893,5.130,6.390,6.398,6.911,5.461,5.983,6.177,5.589,6.838,5.558,5.363,5.610,6.300,3.889
3/15,5.542,5.339,6.818,6.667,5.987,NA,5.142,NA,NA,NA,6.033,5.688,5.236,6.539,6.583,7.007,5.479,6.073,6.262,5.740,6.992,5.571,5.629,5.406,6.511,3.889
3/16,5.735,5.369,6.984,6.667,6.467,NA,5.436,NA,NA,NA,6.144,5.632,5.258,6.631,6.911,7.254,NA,6.024,6.399,5.751,7.167,5.733,5.979,5.467,6.522,3.889
3/17,5.806,5.451,7.135,6.667,6.627,NA,5.843,NA,7.046,NA,6.236,5.815,5.241,6.700,6.990,7.292,NA,5.998,6.260,5.743,7.204,5.988,6.288,5.831,6.920,3.889
3/18,6.082,5.768,7.095,7.483,6.672,NA,5.973,NA,7.051,NA,6.375,6.210,5.260,6.825,7.170,7.300,5.446,6.038,6.318,5.905,7.317,6.308,6.600,NA,6.800,3.889
3/19,6.293,6.080,7.115,7.580,6.671,NA,5.867,NA,7.131,5.103,6.521,6.437,5.390,6.818,6.993,7.317,5.418,6.219,6.390,6.135,7.446,6.354,6.833,NA,6.828,4.444
3/20,6.437,6.160,7.165,7.707,6.743,NA,5.718,NA,7.177,5.214,6.527,6.513,5.550,6.801,7.007,7.421,5.590,6.420,6.443,6.367,7.817,6.392,7.048,NA,6.833,4.444
